"V1","V2","V3","V4"
30,30,30,30
0.61,0.63,0.66,0.66
0.417910447761194,0.430769230769231,0.5,0.484848484848485
50,50,50,50
0.66,0.72,0.76,0.73
0.527777777777778,0.631578947368421,0.692307692307692,0.649350649350649
100,100,100,100
0.89,0.84,0.92,0.84
0.881720430107527,0.813953488372093,0.916666666666667,0.818181818181818
500,500,500,500
1,1,0.99,1
1,1,0.99009900990099,1
1000,1000,1000,1000
0.99,0.99,0.97,0.99
0.99009900990099,0.99009900990099,0.970873786407767,0.99009900990099
